iteration,total_ms,setup_ms,backdoor_keygen_ms,recovery_ms,success
0,4.675266,0.049730,3.778196,0.847106,1
1,2.340236,0.043585,1.690029,0.606540,1
2,1.975399,0.042556,1.348321,0.584452,1
3,2.012498,0.041717,1.384447,0.586260,1
4,1.965976,0.041885,1.350037,0.573972,1
5,1.963272,0.041825,1.349331,0.572049,1
6,1.964756,0.041640,1.348107,0.574933,1
7,1.974507,0.041687,1.356985,0.575760,1
8,1.968252,0.041825,1.348133,0.578218,1
9,1.978782,0.041729,1.354254,0.582729,1
