year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35004_D02_S009,35004_D02_S009,Arrecife,5.6,7.5,17.2,11.3,58.4
2021,20220101_35004_D02_S010,35004_D02_S010,Arrecife,4.9,7.2,14.3,13.7,59.9
2021,20220101_35004_D02_S011,35004_D02_S011,Arrecife,4.5,9.9,20.0,10.3,55.4
2021,20220101_35004_D02_S012,35004_D02_S012,Arrecife,4.7,5.3,7.7,15.9,66.3
2021,20220101_35004_D02_S013,35004_D02_S013,Arrecife,4.3,9.4,14.4,9.6,62.4
2021,20220101_35004_D02_S014,35004_D02_S014,Arrecife,5.3,6.7,16.7,12.9,58.5
2021,20220101_35004_D02_S015,35004_D02_S015,Arrecife,4.2,7.8,11.2,11.9,64.9
2021,20220101_35004_D02_S016,35004_D02_S016,Arrecife,5.5,6.8,9.9,13.6,64.2
2021,20220101_35004_D02_S017,35004_D02_S017,Arrecife,5.6,5.5,10.1,14.9,63.9
2021,20220101_35004_D02_S018,35004_D02_S018,Arrecife,4.5,8.3,9.0,12.3,65.9
2021,20220101_35004_D02_S019,35004_D02_S019,Arrecife,5.4,10.8,15.8,12.8,55.2
2021,20220101_35004_D02_S020,35004_D02_S020,Arrecife,6.3,6.0,13.3,12.8,61.7
2021,20220101_35005_D01_S001,35005_D01_S001,Artenara,5.9,8.9,23.7,3.5,58.1
2021,20220101_35006_D01_S001,35006_D01_S001,Arucas,6.2,11.9,27.0,3.0,51.9
2021,20220101_35006_D01_S002,35006_D01_S002,Arucas,4.5,14.8,15.3,2.6,62.8
2021,20220101_35006_D01_S003,35006_D01_S003,Arucas,6.6,8.6,22.6,4.0,58.2
2021,20220101_35006_D01_S004,35006_D01_S004,Arucas,4.9,7.9,15.5,3.6,68.0
2021,20220101_35006_D01_S005,35006_D01_S005,Arucas,8.6,10.2,19.2,4.3,57.9
2021,20220101_35006_D02_S001,35006_D02_S001,Arucas,5.9,5.1,24.1,4.1,60.8
2021,20220101_35006_D02_S002,35006_D02_S002,Arucas,5.6,8.8,21.2,3.6,60.7
2021,20220101_35006_D02_S003,35006_D02_S003,Arucas,4.4,9.0,19.9,3.5,63.2
2021,20220101_35006_D03_S001,35006_D03_S001,Arucas,5.5,11.3,18.0,4.1,61.2
2021,20220101_35006_D03_S002,35006_D03_S002,Arucas,4.7,8.5,18.3,2.8,65.7
2021,20220101_35006_D03_S003,35006_D03_S003,Arucas,5.3,9.1,20.3,3.6,61.7
2021,20220101_35006_D03_S004,35006_D03_S004,Arucas,4.3,10.9,21.1,4.1,59.7
2021,20220101_35006_D04_S001,35006_D04_S001,Arucas,6.0,9.7,21.1,4.2,59.1
2021,20220101_35006_D04_S002,35006_D04_S002,Arucas,4.5,9.2,14.9,4.1,67.4
2021,20220101_35006_D04_S003,35006_D04_S003,Arucas,5.1,6.1,14.8,3.0,71.0
2021,20220101_35006_D04_S004,35006_D04_S004,Arucas,3.6,7.2,14.7,3.2,71.3
2021,20220101_35006_D05_S001,35006_D05_S001,Arucas,4.8,6.9,15.2,3.9,69.3
2021,20220101_35006_D05_S002,35006_D05_S002,Arucas,5.2,9.5,17.8,3.5,64.1
2021,20220101_35006_D05_S003,35006_D05_S003,Arucas,6.4,7.1,15.5,3.6,67.5
2021,20220101_35006_D05_S004,35006_D05_S004,Arucas,6.8,3.1,21.4,5.5,63.2
2021,20220101_35006_D05_S005,35006_D05_S005,Arucas,5.9,9.2,18.3,4.1,62.5
2021,20220101_35006_D05_S006,35006_D05_S006,Arucas,4.2,8.1,9.6,3.4,74.7
2021,20220101_35006_D06_S001,35006_D06_S001,Arucas,4.1,12.8,14.8,2.6,65.8
2021,20220101_35006_D06_S002,35006_D06_S002,Arucas,4.4,10.8,13.4,3.2,68.2
2021,20220101_35006_D06_S003,35006_D06_S003,Arucas,3.3,12.6,15.5,2.9,65.7
2021,20220101_35006_D07_S001,35006_D07_S001,Arucas,6.7,8.1,23.4,4.3,57.6
2021,20220101_35006_D07_S002,35006_D07_S002,Arucas,7.4,7.6,23.9,4.5,56.7
2021,20220101_35007_D01_S001,35007_D01_S001,Betancuria,5.0,20.1,21.7,5.4,47.9
2021,20220101_35008_D01_S001,35008_D01_S001,Firgas,5.7,7.6,22.6,3.7,60.4
2021,20220101_35008_D01_S002,35008_D01_S002,Firgas,5.4,7.5,18.9,3.8,64.4
2021,20220101_35008_D02_S001,35008_D02_S001,Firgas,5.5,12.4,21.5,4.2,56.4
2021,20220101_35008_D03_S001,35008_D03_S001,Firgas,6.7,6.2,16.4,3.6,67.1
2021,20220101_35008_D03_S002,35008_D03_S002,Firgas,7.8,8.8,21.9,4.3,57.2
2021,20220101_35008_D04_S001,35008_D04_S001,Firgas,6.4,9.3,21.5,3.7,59.1
2021,20220101_35008_D04_S002,35008_D04_S002,Firgas,5.3,8.4,14.4,3.7,68.3
2021,20220101_35009_D01_S001,35009_D01_S001,Gáldar,7.6,13.3,23.2,2.3,53.8
2021,20220101_35009_D01_S002,35009_D01_S002,Gáldar,5.2,14.1,21.0,2.4,57.3
2021,20220101_35009_D01_S003,35009_D01_S003,Gáldar,10.3,9.1,21.8,4.2,54.6
2021,20220101_35009_D01_S004,35009_D01_S004,Gáldar,5.9,9.9,23.4,3.5,57.3
2021,20220101_35009_D01_S005,35009_D01_S005,Gáldar,8.3,5.2,26.2,5.4,54.9
2021,20220101_35009_D01_S006,35009_D01_S006,Gáldar,7.2,8.2,16.6,4.2,64.0
2021,20220101_35009_D01_S007,35009_D01_S007,Gáldar,7.3,9.3,16.0,3.3,64.2
2021,20220101_35009_D01_S008,35009_D01_S008,Gáldar,7.4,9.7,23.6,3.2,56.1
2021,20220101_35009_D01_S009,35009_D01_S009,Gáldar,7.3,5.8,15.1,4.6,67.2
2021,20220101_35009_D01_S010,35009_D01_S010,Gáldar,6.9,8.3,14.6,3.1,67.1
2021,20220101_35009_D01_S011,35009_D01_S011,Gáldar,12.4,6.3,29.4,4.2,47.7
2021,20220101_35009_D01_S013,35009_D01_S013,Gáldar,5.5,15.2,19.8,2.7,56.9
2021,20220101_35009_D01_S014,35009_D01_S014,Gáldar,9.1,3.5,16.5,5.6,65.4
2021,20220101_35009_D01_S015,35009_D01_S015,Gáldar,7.7,6.1,18.2,4.0,63.9
2021,20220101_35009_D01_S016,35009_D01_S016,Gáldar,9.6,7.8,27.8,3.2,51.6
2021,20220101_35009_D01_S017,35009_D01_S017,Gáldar,12.5,7.7,19.9,4.9,55.1
2021,20220101_35010_D01_S001,35010_D01_S001,Haría,3.2,14.4,22.3,5.6,54.5
2021,20220101_35010_D01_S002,35010_D01_S002,Haría,4.7,12.8,24.6,6.1,51.8
2021,20220101_35010_D01_S003,35010_D01_S003,Haría,3.6,16.5,18.5,6.3,55.2
2021,20220101_35010_D01_S004,35010_D01_S004,Haría,4.2,11.2,19.8,5.3,59.6
2021,20220101_35011_D01_S001,35011_D01_S001,Ingenio,4.5,10.5,18.0,5.3,61.6
2021,20220101_35011_D01_S002,35011_D01_S002,Ingenio,10.8,6.0,22.9,7.8,52.5
2021,20220101_35011_D01_S003,35011_D01_S003,Ingenio,6.4,5.9,15.6,6.7,65.4
2021,20220101_35011_D01_S004,35011_D01_S004,Ingenio,5.4,9.0,14.4,6.7,64.5
2021,20220101_35011_D01_S005,35011_D01_S005,Ingenio,9.4,5.7,24.6,9.3,51.0
2021,20220101_35011_D01_S006,35011_D01_S006,Ingenio,6.7,9.2,17.1,6.6,60.4
2021,20220101_35011_D01_S007,35011_D01_S007,Ingenio,6.0,12.5,17.0,6.4,58.0
2021,20220101_35011_D02_S001,35011_D02_S001,Ingenio,6.5,9.8,17.6,5.2,60.9
2021,20220101_35011_D02_S002,35011_D02_S002,Ingenio,7.2,7.1,18.1,7.7,60.0
