year,geo_renta,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta,geo_distribucion_ingresos,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios,geo_ocupacion,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales,geo_actividad,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion,perfil_renta
2021,20220101_38001_D01_S012,38001_D01_S012,Adeje,1,12,34886.0,11747.0,15607.0,12950.0,1.2051737451737452,2022,20220101_38001_D01_S012,3.4,24.6,11.6,12.1,48.5,20210101_38001_D01_S012,174.0,39.0,136.0,489.0,838.0,799.0,21.777221526908637,17.02127659574468,20210101_38001_D01_S012,11.0,45.0,32.0,0.0,750.0,838.0,89.49880668257757,9.18854415274463,baja
2021,20220101_38001_D01_S013,38001_D01_S013,Adeje,1,13,33821.0,12177.0,16909.0,12950.0,1.3057142857142856,2022,20220101_38001_D01_S013,2.7,26.3,8.7,12.2,50.1,20210101_38001_D01_S013,399.0,54.0,117.0,826.0,1396.0,1342.0,29.731743666169894,8.71833084947839,20210101_38001_D01_S013,7.0,58.0,24.0,0.0,1307.0,1396.0,93.62464183381088,5.873925501432665,media-baja
2021,20220101_38001_D01_S014,38001_D01_S014,Adeje,1,14,29224.0,10723.0,14375.0,12250.0,1.1734693877551021,2022,20220101_38001_D01_S014,3.8,12.9,14.8,13.9,54.6,20210101_38001_D01_S014,109.0,20.0,92.0,333.0,554.0,534.0,20.411985018726593,17.228464419475657,20210101_38001_D01_S014,10.0,17.0,10.0,0.0,517.0,554.0,93.32129963898917,4.873646209386282,baja
2021,20220101_38001_D01_S015,38001_D01_S015,Adeje,1,15,28141.0,9505.0,13102.0,12250.0,1.0695510204081633,2022,20220101_38001_D01_S015,3.8,11.2,10.8,15.5,58.6,20210101_38001_D01_S015,155.0,34.0,159.0,510.0,858.0,824.0,18.810679611650485,19.296116504854368,20210101_38001_D01_S015,12.0,39.0,20.0,0.0,787.0,858.0,91.72494172494173,6.876456876456876,baja
2021,20220101_38001_D01_S016,38001_D01_S016,Adeje,1,16,32779.0,11052.0,14777.0,13300.0,1.1110526315789473,2022,20220101_38001_D01_S016,3.9,15.4,9.3,11.3,60.2,20210101_38001_D01_S016,130.0,27.0,93.0,325.0,575.0,548.0,23.722627737226276,16.970802919708028,20210101_38001_D01_S016,8.0,27.0,16.0,0.0,524.0,575.0,91.1304347826087,7.478260869565218,baja
2021,20220101_38001_D01_S017,38001_D01_S017,Adeje,1,17,23792.0,10113.0,13101.0,10850.0,1.2074654377880185,2022,20220101_38001_D01_S017,3.2,16.9,11.3,13.1,55.5,20210101_38001_D01_S017,248.0,34.0,122.0,597.0,1001.0,967.0,25.646328852119957,12.616339193381593,20210101_38001_D01_S017,14.0,40.0,18.0,1.0,928.0,1000.0,92.8,5.8,baja
2021,20220101_38001_D01_S018,38001_D01_S018,Adeje,1,18,31913.0,12041.0,16147.0,12950.0,1.246872586872587,2022,20220101_38001_D01_S018,1.9,30.7,10.5,12.2,44.7,20210101_38001_D01_S018,503.0,71.0,73.0,950.0,1597.0,1526.0,32.96199213630406,4.783748361730013,20210101_38001_D01_S018,3.0,82.0,24.0,0.0,1488.0,1597.0,93.17470256731372,6.637445209768315,media-baja
2021,20220101_38002_D01_S001,38002_D01_S001,Agulo,1,1,29977.0,13317.0,17116.0,15750.0,1.0867301587301588,2022,20220101_38002_D01_S001,4.2,14.3,29.5,5.1,47.0,20210101_38002_D01_S001,99.0,18.0,48.0,176.0,341.0,323.0,30.65015479876161,14.860681114551083,20210101_38002_D01_S001,18.0,30.0,6.0,0.0,287.0,341.0,84.1642228739003,10.557184750733137,media-baja
2021,20220101_38003_D01_S001,38003_D01_S001,Alajeró,1,1,30406.0,13166.0,17194.0,15750.0,1.0916825396825396,2022,20220101_38003_D01_S001,4.7,9.9,21.8,6.8,56.8,20210101_38003_D01_S001,164.0,25.0,135.0,465.0,789.0,764.0,21.465968586387433,17.670157068062828,20210101_38003_D01_S001,21.0,69.0,19.0,0.0,680.0,789.0,86.1850443599493,11.153358681875792,media-baja
2021,20220101_38004_D01_S001,38004_D01_S001,Arafo,1,1,36419.0,13502.0,17691.0,15750.0,1.1232380952380951,2022,20220101_38004_D01_S001,3.6,7.8,19.7,3.8,65.2,20210101_38004_D01_S001,250.0,21.0,109.0,464.0,844.0,823.0,30.37667071688943,13.24422843256379,20210101_38004_D01_S001,20.0,50.0,76.0,0.0,698.0,844.0,82.70142180094787,14.928909952606634,media-baja
