year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38023_D02_S004,38023_D02_S004,San Cristóbal de La Laguna,3.0,24.0,19.0,0.0,374.0,420.0,89.04761904761905,10.238095238095237
2021,20210101_38023_D02_S005,38023_D02_S005,San Cristóbal de La Laguna,3.0,38.0,32.0,0.0,495.0,568.0,87.14788732394366,12.32394366197183
2021,20210101_38023_D02_S006,38023_D02_S006,San Cristóbal de La Laguna,8.0,31.0,27.0,0.0,387.0,453.0,85.43046357615894,12.803532008830022
2021,20210101_38023_D02_S007,38023_D02_S007,San Cristóbal de La Laguna,8.0,34.0,23.0,0.0,614.0,679.0,90.42709867452136,8.394698085419735
2021,20210101_38023_D02_S008,38023_D02_S008,San Cristóbal de La Laguna,8.0,23.0,24.0,0.0,353.0,408.0,86.51960784313725,11.519607843137255
2021,20210101_38023_D02_S009,38023_D02_S009,San Cristóbal de La Laguna,2.0,33.0,31.0,0.0,526.0,592.0,88.85135135135135,10.81081081081081
2021,20210101_38023_D02_S010,38023_D02_S010,San Cristóbal de La Laguna,12.0,42.0,52.0,1.0,751.0,857.0,87.63127187864644,10.968494749124854
2021,20210101_38023_D02_S011,38023_D02_S011,San Cristóbal de La Laguna,1.0,12.0,23.0,0.0,509.0,545.0,93.39449541284404,6.422018348623853
2021,20210101_38023_D02_S012,38023_D02_S012,San Cristóbal de La Laguna,3.0,29.0,21.0,0.0,657.0,710.0,92.53521126760563,7.042253521126761
2021,20210101_38023_D02_S013,38023_D02_S013,San Cristóbal de La Laguna,5.0,61.0,48.0,0.0,615.0,729.0,84.36213991769547,14.9519890260631
2021,20210101_38023_D02_S014,38023_D02_S014,San Cristóbal de La Laguna,7.0,40.0,30.0,0.0,512.0,589.0,86.92699490662139,11.884550084889643
2021,20210101_38023_D02_S015,38023_D02_S015,San Cristóbal de La Laguna,7.0,26.0,22.0,0.0,488.0,543.0,89.87108655616943,8.839779005524862
2021,20210101_38023_D02_S016,38023_D02_S016,San Cristóbal de La Laguna,9.0,69.0,76.0,0.0,1400.0,1554.0,90.09009009009009,9.330759330759332
2021,20210101_38023_D02_S017,38023_D02_S017,San Cristóbal de La Laguna,5.0,45.0,38.0,0.0,678.0,766.0,88.51174934725849,10.835509138381202
2021,20210101_38023_D02_S018,38023_D02_S018,San Cristóbal de La Laguna,3.0,26.0,25.0,0.0,470.0,524.0,89.69465648854961,9.732824427480915
2021,20210101_38023_D02_S019,38023_D02_S019,San Cristóbal de La Laguna,6.0,17.0,19.0,0.0,455.0,497.0,91.54929577464789,7.2434607645875255
2021,20210101_38023_D02_S020,38023_D02_S020,San Cristóbal de La Laguna,3.0,28.0,18.0,0.0,309.0,358.0,86.31284916201118,12.849162011173185
2021,20210101_38023_D02_S021,38023_D02_S021,San Cristóbal de La Laguna,5.0,31.0,36.0,0.0,791.0,863.0,91.65701042873697,7.76361529548088
