year,geo_ocupacion,section_key,municipio,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales
2022,20220101_38038_D07_S004,38038_D07_S004,Santa Cruz de Tenerife,30,7,54,136,227,220,13.636363636363637,24.545454545454547
2022,20220101_38038_D07_S005,38038_D07_S005,Santa Cruz de Tenerife,76,15,49,188,328,313,24.28115015974441,15.654952076677317
2022,20220101_38038_D07_S006,38038_D07_S006,Santa Cruz de Tenerife,108,18,86,213,425,407,26.535626535626534,21.13022113022113
2022,20220101_38038_D07_S007,38038_D07_S007,Santa Cruz de Tenerife,100,18,90,277,485,467,21.41327623126338,19.271948608137045
2022,20220101_38038_D07_S009,38038_D07_S009,Santa Cruz de Tenerife,139,21,66,286,512,491,28.30957230142566,13.441955193482688
2022,20220101_38038_D08_S001,38038_D08_S001,Santa Cruz de Tenerife,61,16,92,222,391,375,16.266666666666666,24.533333333333335
2022,20220101_38038_D09_S001,38038_D09_S001,Santa Cruz de Tenerife,78,18,74,182,352,334,23.353293413173652,22.15568862275449
2022,20220101_38038_D09_S002,38038_D09_S002,Santa Cruz de Tenerife,50,14,54,123,241,227,22.026431718061673,23.788546255506606
2022,20220101_38038_D09_S003,38038_D09_S003,Santa Cruz de Tenerife,74,13,65,221,373,360,20.555555555555557,18.055555555555557
2022,20220101_38038_D09_S006,38038_D09_S006,Santa Cruz de Tenerife,112,17,87,258,474,457,24.50765864332604,19.037199124726477
2022,20220101_38038_D09_S007,38038_D09_S007,Santa Cruz de Tenerife,67,15,31,199,312,297,22.55892255892256,10.437710437710438
2022,20220101_38038_D09_S009,38038_D09_S009,Santa Cruz de Tenerife,75,16,83,299,473,457,16.411378555798688,18.161925601750546
2022,20220101_38038_D09_S010,38038_D09_S010,Santa Cruz de Tenerife,54,14,105,227,400,386,13.989637305699482,27.202072538860104
2022,20220101_38038_D09_S011,38038_D09_S011,Santa Cruz de Tenerife,52,12,92,195,351,339,15.339233038348082,27.13864306784661
2022,20220101_38038_D09_S012,38038_D09_S012,Santa Cruz de Tenerife,121,22,100,380,623,601,20.133111480865225,16.638935108153078
2022,20220101_38038_D09_S014,38038_D09_S014,Santa Cruz de Tenerife,41,15,50,155,261,246,16.666666666666668,20.32520325203252
2022,20220101_38038_D09_S015,38038_D09_S015,Santa Cruz de Tenerife,81,9,38,174,302,293,27.64505119453925,12.969283276450511
2022,20220101_38038_D09_S016,38038_D09_S016,Santa Cruz de Tenerife,50,11,65,211,337,326,15.337423312883436,19.938650306748468
2022,20220101_38038_D09_S018,38038_D09_S018,Santa Cruz de Tenerife,42,9,40,127,218,209,20.095693779904305,19.138755980861244
2022,20220101_38038_D09_S019,38038_D09_S019,Santa Cruz de Tenerife,134,26,83,328,571,545,24.587155963302752,15.229357798165138
