year,geocode,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta
2021,20220101_38023_D05_S006,38023_D05_S006,San Cristóbal de La Laguna,5,6,41769.0,14491.0,18661.0,16450.0,1.1344072948328268,2022
2021,20220101_38023_D05_S007,38023_D05_S007,San Cristóbal de La Laguna,5,7,32086.0,14482.0,17207.0,15050.0,1.1433222591362127,2022
2021,20220101_38023_D05_S008,38023_D05_S008,San Cristóbal de La Laguna,5,8,29507.0,10707.0,14512.0,12950.0,1.1206177606177605,2022
2021,20220101_38023_D05_S009,38023_D05_S009,San Cristóbal de La Laguna,5,9,33515.0,15719.0,18502.0,16450.0,1.124741641337386,2022
2021,20220101_38023_D05_S010,38023_D05_S010,San Cristóbal de La Laguna,5,10,35156.0,12400.0,16485.0,15050.0,1.0953488372093023,2022
2021,20220101_38023_D05_S011,38023_D05_S011,San Cristóbal de La Laguna,5,11,33926.0,11847.0,16034.0,14350.0,1.1173519163763066,2022
2021,20220101_38023_D05_S012,38023_D05_S012,San Cristóbal de La Laguna,5,12,33389.0,11021.0,15227.0,13650.0,1.1155311355311355,2022
2021,20220101_38023_D05_S013,38023_D05_S013,San Cristóbal de La Laguna,5,13,29500.0,12085.0,15426.0,14350.0,1.0749825783972125,2022
2021,20220101_38023_D05_S014,38023_D05_S014,San Cristóbal de La Laguna,5,14,31671.0,12008.0,15833.0,14350.0,1.1033449477351915,2022
2021,20220101_38023_D06_S001,38023_D06_S001,San Cristóbal de La Laguna,6,1,44246.0,13683.0,18409.0,16450.0,1.1190881458966566,2022
2021,20220101_38023_D06_S002,38023_D06_S002,San Cristóbal de La Laguna,6,2,70035.0,21331.0,26838.0,24150.0,1.111304347826087,2022
2021,20220101_38023_D06_S003,38023_D06_S003,San Cristóbal de La Laguna,6,3,37872.0,13573.0,17728.0,15750.0,1.1255873015873017,2022
2021,20220101_38023_D06_S004,38023_D06_S004,San Cristóbal de La Laguna,6,4,34095.0,12316.0,16698.0,14350.0,1.163623693379791,2022
2021,20220101_38024_D01_S001,38024_D01_S001,Los Llanos de Aridane,1,1,39318.0,14124.0,18223.0,15050.0,1.2108305647840532,2022
2021,20220101_38024_D01_S002,38024_D01_S002,Los Llanos de Aridane,1,2,32914.0,12012.0,15785.0,13650.0,1.1564102564102565,2022
2021,20220101_38024_D01_S003,38024_D01_S003,Los Llanos de Aridane,1,3,30067.0,10764.0,14464.0,12950.0,1.116911196911197,2022
2021,20220101_38024_D01_S004,38024_D01_S004,Los Llanos de Aridane,1,4,32738.0,12524.0,15908.0,13650.0,1.1654212454212454,2022
2021,20220101_38024_D01_S005,38024_D01_S005,Los Llanos de Aridane,1,5,38583.0,13739.0,17758.0,15050.0,1.1799335548172758,2022
2021,20220101_38024_D01_S006,38024_D01_S006,Los Llanos de Aridane,1,6,35262.0,12751.0,16982.0,13650.0,1.244102564102564,2022
2021,20220101_38024_D01_S007,38024_D01_S007,Los Llanos de Aridane,1,7,27106.0,10319.0,13814.0,12950.0,1.0667181467181468,2022
2021,20220101_38024_D01_S008,38024_D01_S008,Los Llanos de Aridane,1,8,34531.0,12230.0,16103.0,13650.0,1.1797069597069596,2022
2021,20220101_38024_D02_S001,38024_D02_S001,Los Llanos de Aridane,2,1,32264.0,12288.0,16072.0,13650.0,1.1774358974358974,2022
2021,20220101_38024_D02_S002,38024_D02_S002,Los Llanos de Aridane,2,2,30963.0,11150.0,14972.0,12950.0,1.156138996138996,2022
2021,20220101_38024_D03_S001,38024_D03_S001,Los Llanos de Aridane,3,1,30976.0,10670.0,14676.0,13650.0,1.075164835164835,2022
2021,20220101_38024_D03_S002,38024_D03_S002,Los Llanos de Aridane,3,2,28561.0,11591.0,15625.0,13650.0,1.1446886446886446,2022
2021,20220101_38024_D03_S003,38024_D03_S003,Los Llanos de Aridane,3,3,33845.0,12411.0,17013.0,14350.0,1.1855749128919861,2022
2021,20220101_38025_D01_S001,38025_D01_S001,La Matanza de Acentejo,1,1,33971.0,10876.0,15209.0,14350.0,1.0598606271777002,2022
2021,20220101_38025_D01_S002,38025_D01_S002,La Matanza de Acentejo,1,2,33527.0,11102.0,15218.0,13650.0,1.1148717948717948,2022
2021,20220101_38025_D01_S003,38025_D01_S003,La Matanza de Acentejo,1,3,34090.0,12438.0,16587.0,15050.0,1.1021262458471761,2022
2021,20220101_38025_D01_S004,38025_D01_S004,La Matanza de Acentejo,1,4,36970.0,13792.0,17399.0,14350.0,1.2124738675958189,2022
2021,20220101_38025_D01_S005,38025_D01_S005,La Matanza de Acentejo,1,5,30026.0,11511.0,15094.0,12950.0,1.1655598455598455,2022
2021,20220101_38026_D01_S001,38026_D01_S001,La Orotava,1,1,44651.0,16772.0,20976.0,16450.0,1.2751367781155014,2022
2021,20220101_38026_D01_S002,38026_D01_S002,La Orotava,1,2,47126.0,15465.0,20116.0,17850.0,1.1269467787114846,2022
